epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7524,0.90025,3.19773,1.33563,0.00167,0.5,0.00165,0.00033,2.25174,4.81816,2.94051,2e-05,2e-05,2e-05
2,35.2398,1.04338,3.47433,1.43277,0.00167,0.5,0.00553,0.00332,1.78111,5.86737,2.48413,5.92575e-05,5.92575e-05,5.92575e-05
3,47.782,1.08739,3.02187,1.45925,0.00167,0.5,0.12418,0.04104,1.25072,4.43327,1.8379,9.7525e-05,9.7525e-05,9.7525e-05
4,64.8235,0.71693,2.84297,1.19476,0.00333,1,0.4975,0.37809,0.54728,3.75178,1.09977,0.000134803,0.000134803,0.000134803
5,78.6163,0.83293,2.67497,1.17549,0.00333,1,0.82833,0.72846,0.41069,3.30776,0.86761,0.00017109,0.00017109,0.00017109
6,98.6147,0.63451,2.58954,1.02909,0.00333,1,0.995,0.995,0.24166,3.13282,0.75706,0.000206388,0.000206388,0.000206388
7,112.41,0.55858,2.35507,0.98981,0.00333,1,0.995,0.94504,0.28159,3.11499,0.75884,0.000240695,0.000240695,0.000240695
8,126.744,0.60076,2.37899,1.09806,0.00333,1,0.995,0.8955,0.29556,3.14366,0.76597,0.000274012,0.000274012,0.000274012
9,148.017,0.50366,2.44709,0.97286,0.00333,1,0.995,0.8955,0.33563,3.14168,0.79722,0.00030634,0.00030634,0.00030634
10,162.351,0.56632,2.04269,1.06085,0.00333,1,0.995,0.82079,0.38282,3.14441,0.81816,0.000337677,0.000337677,0.000337677
11,186.134,0.78063,2.18546,1.20539,0.00333,1,0.995,0.796,0.48261,3.14005,0.85863,0.000368025,0.000368025,0.000368025
12,210.757,0.70436,1.86006,1.04517,0.00333,1,0.995,0.796,0.48261,3.14005,0.85863,0.000397383,0.000397383,0.000397383
13,228.572,0.61492,1.90918,1.08604,0.00333,1,0.995,0.84554,0.55541,3.06621,0.86987,0.00042575,0.00042575,0.00042575
14,242.752,0.68217,1.80837,1.03092,0.00333,1,0.995,0.8955,0.53297,3.06146,0.88471,0.000453128,0.000453128,0.000453128
15,255.996,0.64057,1.72902,1.05804,0.00333,1,0.995,0.8955,0.53297,3.06146,0.88471,0.000479515,0.000479515,0.000479515
16,275.945,0.54956,1.55872,1.01147,0.00333,1,0.995,0.82079,0.48864,2.90245,0.88787,0.000504913,0.000504913,0.000504913
17,292.83,0.6153,1.76403,1.16204,0.00455,1,0.995,0.8955,0.51307,2.83794,0.91614,0.00052932,0.00052932,0.00052932
18,305.355,0.85176,1.59881,1.34365,0.00455,1,0.995,0.8955,0.51307,2.83794,0.91614,0.000552738,0.000552738,0.000552738
19,317.529,0.66084,1.45593,1.04813,0.65246,1,0.995,0.84554,0.58937,2.76671,0.92125,0.000575165,0.000575165,0.000575165
20,335.687,0.71537,1.6991,1.11975,0.65246,1,0.995,0.84554,0.58937,2.76671,0.92125,0.000596603,0.000596603,0.000596603
21,348.307,0.56684,1.28108,0.89667,0.42006,1,0.995,0.94504,0.50654,2.97618,0.80991,0.00061705,0.00061705,0.00061705
22,360.006,0.77701,1.53659,1.12321,0.42006,1,0.995,0.94504,0.50654,2.97618,0.80991,0.000636507,0.000636507,0.000636507
23,370.175,0.66542,1.62379,1.08881,0.00476,1,0.995,0.82079,0.67427,2.98646,0.88383,0.000654975,0.000654975,0.000654975
24,382.815,0.77181,1.63623,1.16301,0.00476,1,0.995,0.82079,0.67427,2.98646,0.88383,0.000672452,0.000672452,0.000672452
25,394.24,0.63497,1.72744,1.09017,0.61435,1,0.995,0.67138,1.09124,3.10169,1.06347,0.00068894,0.00068894,0.00068894
26,405.495,0.67412,1.57254,1.04695,0.61435,1,0.995,0.67138,1.09124,3.10169,1.06347,0.000704437,0.000704437,0.000704437
